Category ID,Path,Level1,Level2,Level3,Level4,Description
,adgnitio,,,,,"adgnitio data is unique, high quality, directly ingested mobile-specific data. We collect this data using a proprietary algorithm crunching billions of data points from over an ever-growing 150M+ active user base."
,adgnitio > App Ownership,adgnitio App Insights,,,,Device level data indicating high app ownership grouped by categories for lifestyle based targeting
,adgnitio > App Ownership > Apps,adgnitio App Insights,Apps,,,Users with higher than average installed Apps by genre
og173,adgnitio > App Ownership > Apps > Books & Reference,adgnitio App Insights,Apps,Books & Reference,,Users with higher than average installed Books & Reference apps
og174,adgnitio > App Ownership > Apps > Business,adgnitio App Insights,Apps,Business,,Users with higher than average installed Business apps
og175,adgnitio > App Ownership > Apps > Comics,adgnitio App Insights,Apps,Comics,,Users with higher than average installed Comics apps
og176,adgnitio > App Ownership > Apps > Communication,adgnitio App Insights,Apps,Communication,,Users with higher than average installed Communication apps
og177,adgnitio > App Ownership > Apps > Education,adgnitio App Insights,Apps,Education,,Users with higher than average installed Education apps
og178,adgnitio > App Ownership > Apps > Entertainment,adgnitio App Insights,Apps,Entertainment,,Users with higher than average installed Entertainment apps
og179,adgnitio > App Ownership > Apps > Finance,adgnitio App Insights,Apps,Finance,,Users with higher than average installed Finance apps
og180,adgnitio > App Ownership > Apps > Health & Fitness,adgnitio App Insights,Apps,Health & Fitness,,Users with higher than average installed Health & Fitness apps
og181,adgnitio > App Ownership > Apps > Libraries & Demo,adgnitio App Insights,Apps,Libraries & Demo,,Users with higher than average installed Libraries & Demo apps
og182,adgnitio > App Ownership > Apps > Lifestyle,adgnitio App Insights,Apps,Lifestyle,,Users with higher than average installed Lifestyle apps
og183,adgnitio > App Ownership > Apps > Media & Video,adgnitio App Insights,Apps,Media & Video,,Users with higher than average installed Media & Video apps
og184,adgnitio > App Ownership > Apps > Medical,adgnitio App Insights,Apps,Medical,,Users with higher than average installed Medical apps
og185,adgnitio > App Ownership > Apps > Music & Audio,adgnitio App Insights,Apps,Music & Audio,,Users with higher than average installed Music & Audio apps
og186,adgnitio > App Ownership > Apps > News & Magazines,adgnitio App Insights,Apps,News & Magazines,,Users with higher than average installed News & Magazines apps
og187,adgnitio > App Ownership > Apps > Personalization,adgnitio App Insights,Apps,Personalization,,Users with higher than average installed Personalization apps
og188,adgnitio > App Ownership > Apps > Photography,adgnitio App Insights,Apps,Photography,,Users with higher than average installed Photography apps
og189,adgnitio > App Ownership > Apps > Productivity,adgnitio App Insights,Apps,Productivity,,Users with higher than average installed Productivity apps
og190,adgnitio > App Ownership > Apps > Shopping,adgnitio App Insights,Apps,Shopping,,Users with higher than average installed Shopping apps
og191,adgnitio > App Ownership > Apps > Social,adgnitio App Insights,Apps,Social,,Users with higher than average installed Social apps
og192,adgnitio > App Ownership > Apps > Sports,adgnitio App Insights,Apps,Sports,,Users with higher than average installed Sports apps
og193,adgnitio > App Ownership > Apps > Tools,adgnitio App Insights,Apps,Tools,,Users with higher than average installed Tools apps
og194,adgnitio > App Ownership > Apps > Transportation,adgnitio App Insights,Apps,Transportation,,Users with higher than average installed Transportation apps
og195,adgnitio > App Ownership > Apps > Travel & Local,adgnitio App Insights,Apps,Travel & Local,,Users with higher than average installed Travel & Local apps
og196,adgnitio > App Ownership > Apps > Weather,adgnitio App Insights,Apps,Weather,,Users with higher than average installed Weather apps
,adgnitio > App Ownership > Games,adgnitio App Insights,Games,,,Users with higher than average installed Games by genre
og198,adgnitio > App Ownership > Games > Action,adgnitio App Insights,Games,Action,,Users with higher than average installed Action games
og199,adgnitio > App Ownership > Games > Adventure,adgnitio App Insights,Games,Adventure,,Users with higher than average installed Adventure games
